/Volume1/AI4CODE/CodeNet/data/p02566/Python/s476955075.py,1798
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s091908361.py,0.6964461994076999,2026
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s346818851.py,0.7539900935608146,1817
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s732969965.py,0.07619577308120129,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s374160629.py,0.2853170189098999,595
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s240397110.py,0.49666295884315903,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s378722439.py,0.49666295884315903,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s783393674.py,0.6318131256952169,1781
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s894836546.py,0.2647385984427141,580
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s657840635.py,0.5935251798561151,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s722233151.py,0.5935251798561151,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s947792663.py,0.5932028836251287,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s023832340.py,0.5906282183316169,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s092629333.py,0.5906282183316169,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s849956034.py,0.5953125,1920
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s331488163.py,0.591983556012333,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s278638295.py,0.46440489432703,1343
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s109123735.py,0.4616240266963293,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s304350772.py,0.4616240266963293,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s957359186.py,0.27030033370411566,526
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s294674130.py,0.07953281423804226,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s844025653.py,0.07953281423804226,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s393061815.py,0.5951351351351352,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s179611483.py,0.5951351351351352,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s446857323.py,0.5955842757135164,1857
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s513642736.py,0.017241379310344862,33
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s551151879.py,0.02280311457174633,44
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s662857607.py,0.11136008691518984,14727
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s222762834.py,0.047274749721913256,91
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s767909998.py,0.5400444938820912,1429
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s791562978.py,0.5394883203559511,1423
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s871488728.py,0.5876520955385309,2219
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s507761241.py,0.6697819314641744,1926
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s555319235.py,0.4599555061179088,1163
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s385017652.py,0.46273637374860954,1108
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s732689903.py,0.5027808676307008,1486
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s516172007.py,0.5027808676307008,1486

/Volume1/AI4CODE/CodeNet/data/p02566/Python/s091908361.py,2026
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s346818851.py,0.8938795656465943,1817
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s732969965.py,0.07305034550839096,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s374160629.py,0.26011846001974337,595
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s240397110.py,0.4659427443237907,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s378722439.py,0.4659427443237907,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s783393674.py,0.6080947680157947,1781
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s894836546.py,0.2453109575518263,580
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s657840635.py,0.6702862783810464,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s722233151.py,0.6702862783810464,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s947792663.py,0.6712734452122409,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s023832340.py,0.6688055281342546,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s092629333.py,0.6688055281342546,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s849956034.py,0.6727541954590326,1920
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s331488163.py,0.6767028627838105,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s278638295.py,0.4383020730503455,1343
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s109123735.py,0.441263573543929,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s304350772.py,0.441263573543929,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s957359186.py,0.23988153998025663,526
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s294674130.py,0.07156959526159923,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s844025653.py,0.07156959526159923,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s393061815.py,0.6771964461994078,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s179611483.py,0.6771964461994078,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s446857323.py,0.6791707798617966,1857
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s513642736.py,0.01530108588351431,33
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s551151879.py,0.02073050345508387,44
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s662857607.py,0.12487268282745978,14727
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s222762834.py,0.041954590325765095,91
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s767909998.py,0.5286278381046396,1429
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s791562978.py,0.5266535044422507,1423
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s871488728.py,0.6764308246958088,2219
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s507761241.py,0.7625863770977295,1926
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s555319235.py,0.4437314906219151,1163
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s385017652.py,0.418558736426456,1108
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s732689903.py,0.48667324777887466,1486
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s516172007.py,0.48667324777887466,1486

/Volume1/AI4CODE/CodeNet/data/p02566/Python/s346818851.py,1817
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s732969965.py,0.07925151348376447,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s374160629.py,0.2806824435883324,595
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s240397110.py,0.49312052834342324,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s378722439.py,0.49312052834342324,1391
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s783393674.py,0.6637314254265272,1781
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s894836546.py,0.26197028068244355,580
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s657840635.py,0.6063720452209661,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s722233151.py,0.6063720452209661,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s947792663.py,0.6029866117404737,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s023832340.py,0.6004119464469619,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s092629333.py,0.6004119464469619,1942
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s849956034.py,0.6,1920
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s331488163.py,0.6017471736896197,1946
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s278638295.py,0.45789763346175016,1343
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s109123735.py,0.45899834892680247,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s304350772.py,0.45899834892680247,1333
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s957359186.py,0.26417171161254815,526
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s294674130.py,0.07870115575123826,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s844025653.py,0.07870115575123826,153
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s393061815.py,0.5875675675675676,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s179611483.py,0.5875675675675676,1850
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s446857323.py,0.5945072697899838,1857
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s513642736.py,0.01706108970831044,33
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s551151879.py,0.023115024766097947,44
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s662857607.py,0.11271813675561893,14727
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s222762834.py,0.046230049532195894,91
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s767909998.py,0.546505228398459,1429
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s791562978.py,0.5443037974683544,1423
/Volume1/AI4CODE/CodeNet/data/p02566/Python/s871488728.py,0.6318161333934205,2219
